# Time-averaged data for fix printcond
# TimeStep v_totalcondx v_totalcondy v_totalcondz
796 0.00276003 0.0049421 -0.00593532
798 0.00296078 0.00478172 -0.00577081
800 0.00315354 0.00461748 -0.00560153
802 0.00331891 0.00446177 -0.00544677
804 0.00343519 0.00432835 -0.00532846
806 0.00349214 0.00422747 -0.00526317
808 0.00349725 0.00416345 -0.00525602
810 0.00346898 0.00413547 -0.00530165
812 0.00342683 0.00413882 -0.00539015
814 0.00338481 0.0041655 -0.00551207
816 0.00335023 0.00420533 -0.00565952
818 0.00332579 0.00424686 -0.00582586
820 0.00331074 0.00427925 -0.00600573
822 0.00330197 0.00429424 -0.006196
824 0.00329647 0.00428641 -0.00639712
826 0.00328903 0.00425506 -0.00661137
828 0.00327381 0.00420331 -0.00684165
830 0.00324557 0.00413687 -0.0070891
832 0.00320194 0.00406261 -0.00735088
834 0.00314469 0.00398737 -0.00761879
836 0.00307939 0.00391726 -0.00788041
838 0.00301268 0.00385752 -0.00812259
840 0.00294919 0.0038122 -0.00833553
842 0.00288849 0.003784 -0.00851623
844 0.00282663 0.00377361 -0.00866745
846 0.00276082 0.00377949 -0.00879258
848 0.00269014 0.00379611 -0.00889609
850 0.00261797 0.00381411 -0.00898163
852 0.00255236 0.00382033 -0.00905202
854 0.00250572 0.00379889 -0.00910947
856 0.00249252 0.00373441 -0.00915518
858 0.00252416 0.00361797 -0.00919005
860 0.00260272 0.00345184 -0.00921621
862 0.00272054 0.00324907 -0.0092394
864 0.0028633 0.00302932 -0.00927087
866 0.00301 0.00280603 -0.00931897
868 0.00314399 0.00259153 -0.00939098
870 0.00325284 0.00239472 -0.00948914
872 0.0033286 0.00222094 -0.00961131
874 0.00336823 0.00207206 -0.00975354
876 0.0033745 0.0019474 -0.00991181
878 0.00335603 0.00184533 -0.0100817
880 0.00332468 0.00176506 -0.0102575
882 0.00329206 0.00170806 -0.0104307
884 0.00326744 0.00167847 -0.0105897
886 0.00325739 0.00168231 -0.0107198
888 0.00326527 0.00172507 -0.0108073
890 0.00329106 0.00180871 -0.0108439
892 0.00333167 0.00192993 -0.0108297
894 0.00338228 0.00208033 -0.0107736
896 0.00343907 0.00224802 -0.0106893
898 0.00350322 0.00241839 -0.0105911
900 0.0035853 0.00257222 -0.0104893
902 0.00371091 0.00268397 -0.0103861
904 0.00391111 0.0027255 -0.0102786
906 0.00420196 0.00268503 -0.0101653
908 0.00456413 0.00258691 -0.0100532
910 0.00495072 0.00247918 -0.00994923
912 0.00531939 0.00239911 -0.00985052
914 0.00565125 0.00235627 -0.00974507
916 0.00594283 0.00234343 -0.00961959
918 0.00619187 0.00235751 -0.00946493
920 0.00639572 0.00239901 -0.00927427
922 0.00655602 0.0024672 -0.00904017
924 0.00668086 0.00255844 -0.0087516
926 0.00678212 0.00266746 -0.00839404
928 0.00687021 0.00278878 -0.00795521
930 0.00695033 0.00291712 -0.00743378
932 0.00702178 0.00304779 -0.00684354
934 0.00707957 0.00317753 -0.00621037
936 0.0071166 0.0033048 -0.00556701
938 0.00712507 0.00342913 -0.00494745
940 0.00709801 0.00355112 -0.00437883
942 0.00703048 0.00367241 -0.00387275
944 0.00692002 0.00379448 -0.00342321
946 0.00676532 0.00391597 -0.00301425
948 0.00656598 0.00403029 -0.00263075
950 0.0063253 0.00412508 -0.00226465
952 0.00604673 0.00417989 -0.0019048
954 0.00575112 0.00416681 -0.00154344
956 0.00547421 0.00405273 -0.00117239
958 0.00524675 0.00381976 -0.000790697
960 0.00506105 0.00349742 -0.000414441
962 0.00487126 0.00315791 -7.11672e-05
964 0.00463762 0.00286356 0.000220299
966 0.00435887 0.00262791 0.000462126
968 0.00405564 0.00243368 0.000669327
970 0.00373925 0.00227079 0.000857517
972 0.0034042 0.00214728 0.00103908
974 0.00303898 0.00207735 0.00122236
976 0.00263899 0.00206857 0.00140797
978 0.00221251 0.00211197 0.00159124
980 0.00177937 0.00218889 0.00176182
982 0.00136332 0.00227919 0.0019074
984 0.000989575 0.00236555 0.00201594
986 0.000677101 0.00243767 0.00207888
988 0.000430467 0.0024933 0.00209429
990 0.00023804 0.00253718 0.002068
992 7.94443e-05 0.00257798 0.00201021
994 -6.36709e-05 0.00262399 0.0019319
996 -0.000201463 0.00268142 0.00184355
998 -0.000337687 0.00275389 0.0017561
1000 -0.000472537 0.00284305 0.00168068
1002 -0.000603115 0.00294754 0.00163124
1004 -0.000720978 0.0030595 0.00162784
1006 -0.000805482 0.00315828 0.00170283
1008 -0.00081789 0.00320513 0.00190343
1010 -0.000725313 0.0031593 0.00225952
1012 -0.000559934 0.00302967 0.0027197
1014 -0.000422872 0.00287699 0.0031598
1016 -0.000398064 0.00275884 0.00348295
1018 -0.000489962 0.00268018 0.00368307
1020 -0.000655085 0.00261337 0.00380595
1022 -0.000853824 0.00253634 0.00389509
1024 -0.00106239 0.0024415 0.00397857
1026 -0.00126586 0.00232972 0.00407567
1028 -0.00145275 0.00220513 0.00420322
1030 -0.00160953 0.00206987 0.00438322
1032 -0.001711 0.0019156 0.00466051
1034 -0.00170452 0.00171676 0.00512881
1036 -0.00153439 0.00146321 0.00586689
1038 -0.00123296 0.00121022 0.00677841
1040 -0.000929244 0.00103428 0.00762536
1042 -0.000746783 0.00095483 0.00822553
1044 -0.000692961 0.000924004 0.00860673
1046 -0.00071133 0.000888511 0.00888751
1048 -0.000775182 0.000824834 0.00912882
1050 -0.000886983 0.000726767 0.0093457
1052 -0.00105565 0.000593659 0.00953886
1054 -0.00128382 0.000425095 0.00970381
1056 -0.00156606 0.000217949 0.0098331
1058 -0.00189333 -3.7001e-05 0.00991773
1060 -0.00225621 -0.000355022 0.00994647
1062 -0.00265507 -0.000757547 0.00991586
1064 -0.00308536 -0.00125353 0.00982612
1066 -0.00352848 -0.00182896 0.00967937
1068 -0.00395541 -0.00245572 0.00947852
1070 -0.00433251 -0.00310486 0.00922723
1072 -0.00462536 -0.00375228 0.00893085
1074 -0.00480779 -0.00438059 0.00859508
1076 -0.00487614 -0.00497826 0.00821955
1078 -0.00485132 -0.00553255 0.00779496
1080 -0.0047586 -0.00602093 0.00731382
1082 -0.00460125 -0.00640719 0.00678613
1084 -0.00435994 -0.00665259 0.00623762
1086 -0.00403289 -0.00675555 0.00569194
1088 -0.00365656 -0.00676333 0.00516117
1090 -0.00327432 -0.00672705 0.00464851
1092 -0.00291418 -0.00667593 0.00415473
1094 -0.00259135 -0.00662443 0.00368167
1096 -0.00231515 -0.00658219 0.00323356
1098 -0.00209325 -0.00655894 0.00281652
1100 -0.00193194 -0.00656614 0.00243821
1102 -0.00183694 -0.00661506 0.00210713
1104 -0.0018102 -0.00671508 0.00182883
1106 -0.0018471 -0.00686998 0.00160282
1108 -0.00193425 -0.00707472 0.00142111
1110 -0.00205176 -0.00731717 0.00127117
1112 -0.00217935 -0.00758371 0.00114121
1114 -0.00230146 -0.00786344 0.00102566
1116 -0.00240741 -0.00814679 0.000918596
1118 -0.00249176 -0.00842572 0.000815948
1120 -0.00255155 -0.00869074 0.000713877
1122 -0.00257882 -0.00892436 0.000607598
1124 -0.0025731 -0.00911628 0.000492338
1126 -0.0025392 -0.00926234 0.000365648
1128 -0.00248667 -0.0093648 0.000227919
1130 -0.00242592 -0.00942885 8.00097e-05
1132 -0.00236511 -0.00945947 -7.91996e-05
1134 -0.00230862 -0.00945994 -0.000253643
1136 -0.00225625 -0.00943176 -0.0004525
1138 -0.00220569 -0.00937647 -0.000681638
1140 -0.0021536 -0.00929498 -0.000948137
1142 -0.00209736 -0.00918751 -0.00125911
1144 -0.00203666 -0.00905371 -0.00161863
1146 -0.00197619 -0.00889009 -0.00202511
1148 -0.00192497 -0.0086946 -0.00246814
1150 -0.00189704 -0.00846896 -0.00292681
1152 -0.00190915 -0.00822189 -0.00337272
1154 -0.0019761 -0.00796881 -0.00377761
1156 -0.00210267 -0.0077254 -0.0041264
1158 -0.00228156 -0.00749904 -0.00441818
1160 -0.00249131 -0.00728445 -0.00466222
1162 -0.00271397 -0.00708092 -0.00487149
1164 -0.0029356 -0.0068935 -0.00505457
1166 -0.00315098 -0.00673458 -0.00521171
1168 -0.00335924 -0.00662241 -0.00534047
1170 -0.00356056 -0.00657301 -0.00544016
1172 -0.0037535 -0.0065854 -0.00551603
1174 -0.00393656 -0.0066272 -0.00557957
1176 -0.0041202 -0.00662771 -0.00563983
1178 -0.00432666 -0.00649402 -0.00570329
1180 -0.00456866 -0.00617176 -0.00577255
1182 -0.00482327 -0.00569254 -0.00585331
1184 -0.00505081 -0.00512075 -0.00594948
1186 -0.00522081 -0.00450619 -0.0060592
1188 -0.00530445 -0.00388971 -0.00617058
1190 -0.00525298 -0.00333138 -0.00625644
1192 -0.00500279 -0.00291807 -0.00627898
1194 -0.00454933 -0.00269716 -0.00622367
1196 -0.00400789 -0.00259363 -0.00613376
1198 -0.00353576 -0.00247745 -0.00607667
1200 -0.0032081 -0.00228274 -0.0060824
1202 -0.00300816 -0.00202742 -0.00612302
1204 -0.00290082 -0.0017573 -0.00615606
1206 -0.00287068 -0.00150782 -0.00615489
1208 -0.00291226 -0.00129716 -0.00611185
1210 -0.00302101 -0.00112754 -0.00603101
1212 -0.0031878 -0.000992597 -0.00592107
1214 -0.00339801 -0.000884898 -0.0057885
1216 -0.00362912 -0.000797363 -0.00563264
1218 -0.00384726 -0.000717996 -0.00544465
1220 -0.00400781 -0.000628366 -0.00520814
1222 -0.00407246 -0.000505271 -0.00491289
1224 -0.00403343 -0.000337464 -0.0045615
1226 -0.0039107 -0.000128307 -0.00416901
1228 -0.00372755 0.00011161 -0.00375395
1230 -0.00349711 0.000365668 -0.00333121
1232 -0.0032225 0.00060609 -0.00290683
1234 -0.0028957 0.000796014 -0.00247268
1236 -0.00249732 0.000912932 -0.00201305
1238 -0.00201858 0.000981449 -0.00153098
1240 -0.00148788 0.00106801 -0.00106221
1242 -0.000966447 0.00123136 -0.000644638
1244 -0.000504677 0.0014821 -0.000285482
1246 -0.000120722 0.00179287 3.59493e-05
1248 0.000188588 0.00212986 0.000342731
1250 0.000435854 0.00246473 0.00064654
1252 0.000632275 0.00278378 0.000949923
1254 0.000790734 0.00308478 0.00125214
1256 0.000925032 0.00337516 0.00155249
1258 0.00104569 0.00366497 0.00185246
1260 0.00115426 0.00395768 0.00216247
1262 0.00124443 0.00425057 0.00249062
1264 0.00130823 0.0045394 0.00284259
1266 0.00134273 0.00482241 0.00321668
1268 0.00135468 0.00509975 0.00359834
