Box size: max: 28.496098 min: 3.5039283 in Ang
Timestep: 0.5
T: 673
Chunk 1 of size 2ps
Start time: 2.0ps
Lag    Lag (in ps)     Auto-correlation     Integral(acf)        Conductivity
662      0.331          8.005981772586536e-06    0.010669393557299216    6.293424848409011
664      0.332          7.95323162932457e-06    0.010677373164000172    6.298131681540869
666      0.333          7.907738319522247e-06    0.010685303648974595    6.302809539839931
668      0.334          7.868918198672794e-06    0.010693191977233691    6.307462531672277
670      0.335          7.836044251612732e-06    0.010701044458458835    6.312094378852586
672      0.336          7.808246144180288e-06    0.01070886660365673    6.316708332091064
674      0.337          7.784514473339383e-06    0.01071666298396549    6.321307087709113
676      0.338          7.763878251984572e-06    0.010724437180328152    6.325892757953858
678      0.339          7.745705462646148e-06    0.010732191972185468    6.330466982300066
680      0.34          7.729912799639836e-06    0.01073992978131661    6.335031189253034
682      0.341          7.716956142258462e-06    0.01074765321578756    6.339586917200784
684      0.342          7.70770719850398e-06    0.010755365547457941    6.344136096075187
686      0.343          7.703283755064524e-06    0.010763071042934724    6.348681242567577
688      0.344          7.704923236866168e-06    0.01077077514643069    6.353225567989246
690      0.345          7.713903875144337e-06    0.010778484559986697    6.357773025591167
692      0.346          7.731498092058729e-06    0.010786207260970297    6.362328320885694
694      0.347          7.7589072816474e-06    0.01079395246365715    6.366896888985055
696      0.348          7.797051173824252e-06    0.010801730442884887    6.3714847905822145
698      0.349          7.846262095698735e-06    0.010809552099519648    6.3760984556379245
700      0.35          7.90619340709265e-06    0.010817428327271044    6.380744309891605
702      0.351          7.976069738055433e-06    0.010825369458843617    6.385428448169466
704      0.352          8.055101939924704e-06    0.01083338504468261    6.390156503875983
706      0.353          8.142716971903062e-06    0.010841483954138522    6.394933708666596
708      0.354          8.238572805656194e-06    0.010849674599027302    6.399765024316422
710      0.355          8.342470240374848e-06    0.010857965120550317    6.404655252976468
712      0.356          8.454191956211594e-06    0.010866363451648611    6.409609073953764
714      0.357          8.573322730126083e-06    0.01087487720899178    6.414630980000164
716      0.358          8.699255583876438e-06    0.01088351349814878    6.419725162390832
718      0.359          8.831388239315243e-06    0.010892278820060376    6.424895455756289
720      0.36          8.969288807639413e-06    0.010901179158583853    6.430145389721334
722      0.361          9.112617203727248e-06    0.010910220111589538    6.43547826623336
724      0.362          9.260832808086881e-06    0.010919406836595444    6.440897127494514
726      0.363          9.41303490479603e-06    0.010928743770451886    6.446404590615497
728      0.364          9.5680832588299e-06    0.010938234329533699    6.452002670771602
730      0.365          9.724859105416762e-06    0.010947880800715822    6.457692716893811
732      0.366          9.882411304851956e-06    0.010957684435920956    6.463475467438476
734      0.367          1.003995018286047e-05    0.010967645616664813    6.469351147445613
736      0.368          1.0196849125992383e-05    0.010977764016319239    6.475319564251057
738      0.369          1.0352769634775593e-05    0.010988038825699622    6.481380240550971
740      0.37          1.0507785937204014e-05    0.010998469103485611    6.487532621100215
742      0.371          1.0662377003885654e-05    0.011009054184956155    6.493776313807902
744      0.372          1.0817278539486203e-05    0.011019794012727843    6.500111284825981
746      0.373          1.0973316461578915e-05    0.011030689310228374    6.506537960873913
748      0.374          1.1131318691913663e-05    0.011041741627805121    6.513057256436163
750      0.375          1.1292188973268357e-05    0.011052953381637712    6.5196705967150965
752      0.376          1.1456918398183835e-05    0.011064327935323439    6.526379965754759
754      0.377          1.1626301367926972e-05    0.011075869545206493    6.533187874192906
756      0.378          1.1800565616357987e-05    0.011087582978698636    6.540097134124481
758      0.379          1.197934095987078e-05    0.01109947293198675    6.547110515631871
